Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Defi Oracles,0x00620F4659Bc546284dAB2720373C606727f073A,1,1427,3.715750301296225e+19,68473657,123992514.32413356,123992514.32413356
Ugly Kitty,0x01CaAAA7B40AA13aB2a04087d262B5558E695607,1,377,9.833884316928025e+18,68473657,21068502.33506088,21068502.33506088
Bushido FTSO,0x01F24Cb1DE93f218f6627D496e6318BEa65f2f34,1,368,9.58409818900513e+18,68473653,20357995.19504273,20357995.19504273
Lena Instruments,0x037c3e6a8f65ad2d810f26DB3439d96e48156858,1,2139,5.566770737818268e+19,68473655,214835490.80141503,212554902.3726084
Flare Portal,0x08d094dC09a0bAf05eC7E2a881A02Da54C26442b,0,377,9.831899589150022e+18,68473653,21062830.17786998,21062830.17786998
4DadsFTSO,0x0A2128437f75Ea111887f033fD84794403562737,1,448,1.1676110132465605e+19,68473655,26488930.837131403,26488930.837131403
A-FTSO,0x0c660191434484428A563614E0aa9d2041772953,1,2139,5.566770737818268e+19,68473657,376785797.87984127,212554902.3726084
Ivy Oracle,0x18c8aF2EaC14282E207c67c405325E5A4a401A9F,1,2139,5.566770737818268e+19,68473653,224917578.3262378,212554902.3726084
Atlas TSO,0x19585c914AeA4d985E034399c581B35014ec94eF,1,2139,5.566770737818268e+19,68473654,266999633.5763695,212554902.3726084
Solarius,0x1CBf078705c907510fdB711Cf3c6e9B8E583f156,1,2139,5.566770737818268e+19,68473660,249760581.1144109,212554902.3726084
,0x23075D2210F1aC5f8eaD459bE03Ea7337D10afA0,0,1801,4.687318122634682e+19,68473656,169004905.1825485,169004905.1825485
TheGrungies,0x28603D496801086f503d80B5D321EcAd13CA3AFC,1,569,1.4816053157915617e+19,68473658,36389564.23559236,36389564.23559236
,0x317edFB00ca5065590f6662eE33264b5c27B7c31,1,371,9.65871624898148e+18,68473664,20569608.06976481,20569608.06976481
Flare Dienst,0x342C8c165Db96a60EfEdd2E3480ae5398A1fd322,1,2139,5.566770737818268e+19,68473653,235284835.304854,212554902.3726084
NORTSO,0x3ED54c61EC0fF7C144d547C2d032392864e66cA2,1,2139,5.566770737818268e+19,68473656,279333708.55270815,212554902.3726084
Flare Beacon,0x44Eb776cd95aE59b2edA2cE354557427361e75Da,1,2139,5.566770737818268e+19,68473654,232292978.0772844,212554902.3726084
Flare.Space,0x4985138d5efaB799CaA5abb09Eb7DBC87Dd5141A,1,2139,5.566770737818268e+19,68473657,214680873.97712663,212554902.3726084
HEWG,0x4ddd9f80F88F53c730CE7C6041f17583447DD968,1,633,1.6494839934981898e+19,68473653,41988552.18535201,41988552.18535201
