Address,Name,Total Stake,Owner Stake,Delegators Stake,Free Space,Delegators,Uptime %,Fee %
4zWvBNmsbaS9UKQf6wcWgWGWRfitcGAuV,INFStones,61630378,14999995,46630383,138369622,34,99.99,10.00
9vmnHcK2XCBDf7uNfkq6CqRGpE6FJsN5K,FTSO4All,31952607,3000000,28952607,13047393,33,99.96,19.00
5JkXthgpWVDq6utrtV1YVG7aspsHjhezM,INFStones,100703482,15000000,85703482,99296518,30,99.99,10.00
JZuVSDnBui1u82RmkbkWKJ1JxfdxuVYR9,Restake,110331963,30000000,80331963,89668037,28,100.00,10.00
98RaC6gbJMhin1NXsBFUoicEqiF7VKWbL,TempestFTSO,17554897,7000000,10554897,87445103,27,100.00,20.00
4e5tHaeoLvpXjtY5uMXtuYJgEWZ2JiC4D,LightFTSO,33696285,2250000,31446285,53715,27,99.98,12.00
2hCHs6H4Vde8mdGGKidMvT4Fjit7goCBT,HEWG,45000000,3000000,42000000,-0,26,99.84,2.00
NV7ZpcJvqzmvvT4PaeHWbTELWKFT2Jqxw,sToadz 3,23410500,1560700,21849800,0,25,99.96,20.00
7HLcuEFt7c1qTggK8AkLim9ekhPu2NYLM,Chainbase Staking,198402149,30000000,168402149,1597851,25,99.86,10.00
KppZbRMtfNTQZGdmHdkbHTJHgNPBCNxJj,FTShizO,18826289,1300000,17526289,673711,25NO REWARDS,99.98,13.00
FLPF99Gi1c79NGHw7GYyhttWPVxpCq713,African Proofs,44040034,3000000,41040034,959966,23,99.64,12.50
KH2o8xGFLYtCwseWgRbpDAf1n4zAcMNfN,Last Oracle,149014908,10000000,139014908,985092,22,100.00,15.00
5BWT2P6E2kjKWsVDVzsj2XwtuxiwV7oAq,FatCats,14023945,1000050,13023895,976805,22,99.97,20.00
FERvNWfCH4mjCSoFnjF4YouDBuYZCpfKm,ComfyNodes,29500841,3250000,26250841,19249159,22,97.01,15.00
2a7BPY7UeJv2njMuyUHfBSTeQCYZj6bwV,Oracle Daemon 1,37592705,7500000,30092705,74907295,21,99.84,10.00
CoNH4gyEwB9gTrEmozwh14Zr8hs6wokRS,4DadsFTSO,49130064,10000000,39130064,100869936,20,99.98,20.00
4hyFQEeDqpG9yyEnafTwqQQTTFex32KG2,Flare Oracle 2,22645211,10000000,12645211,127354789,19,99.94,18.00
9jaZDNBCn4AwMzRqFBhxfem2ZZtiArRm2,Burst FTSO,55473438,3750000,51723438,776562,19,99.65,10.00
CtSfUZd8nvr4RDaQnKRiP9cae15Nrb1bX,Poisidon,53991660,3600000,50391660,8340,18,100.00,9.00
3RJrjDMzeZQVDyHDjZ6u1X3Y3WCKY5nbb,NORTSO,118966169,13340000,105626169,81033831,18,100.00,10.00
7vz3A92AkLi9YRYTauPgvkdiMmhnuDRzj,Flare.Space 2,149453408,10000000,139453408,546592,17,100.00,20.00
N3GDYNsVNMxYTW4ULzrfRZpy3tRnhxKSQ,Oracle Daemon 2,199387700,20000000,179387700,612300,17,100.00,10.00
Ckyh9cpfkkXSo5PYNNFactcrKkY2XhkXR,True FTSO,17941300,1250000,16691300,808700,17,99.91,20.00
FUA8LX6gJhNmiJVT5eycNsd2jKBHL7FBY,StakeCapital,35919837,32747171,3172666,164080163,15,99.97,100.00
Q3WJQcoixGGKnFs41B18rnJB9PS54M5oF,Last Oracle,149473289,10000000,139473289,526711,15,99.94,15.00
CeX1NfNPHCdaJXUVtkLysShaZCtsHRK3D,FTSOExpress,21398406,2172490,19225916,11188944,15NO REWARDS,89.13,20.00
Gy2c6Y1RNz2PZfAnTwHZMZ4RZ53nKPf1Q,Google Cloud,87822007,30000000,57822007,112177993,14,100.00,20.00
DcUJTi6u5Xoutgr1A25iMu4Rp5JEbsEqr,Aimlezz,65916100,4395200,61520900,11900,13,99.94,12.00
C3FRhsMBh3KNLKiVbc8xLY7gnVzmJ7EY9,WonderMach,20545044,3000000,17545044,24454956,13,99.93,20.00
LcbbZYhBHn8HVjTzPASuHtFVAckcdctWS,Ugly Kitty,29385957,5000000,24385957,45614043,12,99.84,20.00
JA63moobNNMLby4ENNUiJqVJA2cdpks5J,ACDTftso,22483908,3006022,19477886,22606425,12,99.92,17.50
Bo98cjoi5LvF6jXAMHZZLQYutyeGutBQ1,FTSO AU 2,35789272,8000000,27789272,84210728,11,100.00,15.00
J4nyqo44xFUxhAi9gDJXAkYyxP5z2a7UG,TheGrungies,15916417,2306380,13610037,18679283,11,99.90,20.00
EPLACd344ouymyJAQYXZBvbmU3NJ6ooeB,AFOracle 2,99834484,7959594,91874890,19559426,11,100.00,15.00
P6nNyHc4QwyKoVSS7c9XatGp4Sityq7rM,FTSO London,23630058,3500000,20130058,28869942,10,99.95,20.00
JFiAG1SiqUFh3EnkY8oXcXUg8RuT2guZp,KnotKnodes,22110726,3000000,19110726,22889274,10,100.00,15.00
MN7sJduRdGUs3aWyYUmym2CFVsptzgKcJ,FTSO Plus,164968292,11000000,153968292,31708,9,100.00,18.00
EqTrzH8b9ax2oYwrKFkXqWAZjuK8uHFxS,EDP FTSO,11000055,5000000,6000055,63999945,9,99.88,20.00
4h6PNpK5oo9pjmE8zKSbm31S2LStg4tyF,FTSO.Asia,10560507,1250000,9310507,8189493,9,98.80,20.00
GPBkpSGC7YpRbd1TsNZk84C2TQfNja6FQ,Starlink Oracle,19520475,3000000,16520475,25479525,9NO REWARDS,83.52,20.00
GGnTyHtMF7b8CELtUgFGTEHjEcjNF7RZ,Last Oracle,21176254,3000000,18176254,23823746,8,99.89,20.00
CrsvTSFLB8G3ziPaVjgH1pj8NQxSZkECD,Flare Beacon,8025548,2500000,5525548,29474452,8,100.00,14.00
ECqqsWu9jpUvZgPyf9yPZZcyWmJjWyN1T,Flare.Space 1,199999993,13500000,186499993,7,5,100.00,20.00
LKS1hi95iVbqGDyU1vbkyPLd4wknJfqF9,FTSO UK,7627779,1216120,6411659,10614021,3NO REWARDS,87.50,20.00
J9JZSkVJWCUYZ43n36q4fCixu7Tj4QR1P,FlareFTSO,4750000,4750000,0,66500000,0,100.00,20.00
