Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Defi Oracles,0x00620F4659Bc546284dAB2720373C606727f073A,1,1466,3.7107446695186014e+19,68178582,123769842.26846173,123769842.26846173
Ugly Kitty,0x01CaAAA7B40AA13aB2a04087d262B5558E695607,1,388,9.827039879000273e+18,68178582,21048949.636181604,21048949.636181604
Bushido FTSO,0x01F24Cb1DE93f218f6627D496e6318BEa65f2f34,1,378,9.584093197573032e+18,68178581,20357993.158201355,20357993.158201355
Lena Instruments,0x037c3e6a8f65ad2d810f26DB3439d96e48156858,1,2048,5.181802697937726e+19,68178581,193185499.14346814,193185499.14346814
Flare Portal,0x08d094dC09a0bAf05eC7E2a881A02Da54C26442b,0,388,9.831097239452406e+18,68178581,21060532.93961494,21060532.93961494
4DadsFTSO,0x0A2128437f75Ea111887f033fD84794403562737,1,458,1.159231709293687e+19,68178584,26235773.200338285,26235773.200338285
A-FTSO,0x0c660191434484428A563614E0aa9d2041772953,1,2199,5.564536098591047e+19,68178582,376220137.7299216,212441145.19789153
Ivy Oracle,0x18c8aF2EaC14282E207c67c405325E5A4a401A9F,1,2199,5.564536098591047e+19,68178581,222973953.009264,212441145.19789153
Atlas TSO,0x19585c914AeA4d985E034399c581B35014ec94eF,1,2199,5.564536098591047e+19,68178581,267843438.18076035,212441145.19789153
Solarius,0x1CBf078705c907510fdB711Cf3c6e9B8E583f156,1,2199,5.564536098591047e+19,68178585,216241014.0637616,212441145.19789153
,0x23075D2210F1aC5f8eaD459bE03Ea7337D10afA0,0,1814,4.591321901320907e+19,68178582,164405769.2128734,164405769.2128734
TheGrungies,0x28603D496801086f503d80B5D321EcAd13CA3AFC,1,584,1.4793949773148928e+19,68178585,36317198.86153546,36317198.86153546
,0x317edFB00ca5065590f6662eE33264b5c27B7c31,1,381,9.65871624898148e+18,68178584,20569608.06976481,20569608.06976481
Flare Dienst,0x342C8c165Db96a60EfEdd2E3480ae5398A1fd322,1,2199,5.564536098591047e+19,68178581,238836484.5142747,212441145.19789153
NORTSO,0x3ED54c61EC0fF7C144d547C2d032392864e66cA2,1,2199,5.564536098591047e+19,68178581,278818241.82466143,212441145.19789153
Flare Beacon,0x44Eb776cd95aE59b2edA2cE354557427361e75Da,1,2199,5.564536098591047e+19,68178582,221625695.70086554,212441145.19789153
Flare.Space,0x4985138d5efaB799CaA5abb09Eb7DBC87Dd5141A,1,2199,5.564536098591047e+19,68178587,214780814.4804831,212441145.19789153
HEWG,0x4ddd9f80F88F53c730CE7C6041f17583447DD968,1,651,1.6491597744679924e+19,68178579,41977555.1030661,41977555.1030661
PRICEKRAKEN,0x4F84caAb4a53Aabbad2dfE1013d2bB53EDBF2f0a,1,2199,5.564536098591047e+19,68178584,213429349.1614589,212441145.19789153
ACDTftso,0x527E5e829763885008E171493C0E8d4A1eC48239,1,630,1.5943914117758941e+19,68178578,40129157.48950625,40129157.48950625
Xdrops Oracle,0x625598caF40C63EB62860260cfD343d5FA4D88D4,1,400,1.014259239743997e+19,68178582,21954937.459684514,21954937.459684514
Mickey B Fresh,0x65Ae92f3473D75815F2a86298b76A608F94E1575,0,411,1.0417999786209112e+19,68178581,22753380.077681225,22753380.077681225
Use Your Spark,0x661a71e863c887E68aa8c9348e8AA60E48a868Ad,1,1693,4.285277731344074e+19,68178580,149958819.93382004,149958819.93382004
Flare Oracle,0x6c2209754845dF0FC01D048c3F3C3537B5D35B9c,1,2199,5.564536098591047e+19,68178585,281805247.12000924,212441145.19789153
,0x736E7225CC876f30BA124C2bFb8C0ed133f6c7C9,0,30,7.77714635163578e+17,68178582,715200.0,715200.0
Bifrost Wallet,0x7429E0C70306834E2B210cf3FEB306342f456ce7,1,2199,5.564536098591047e+19,68178582,343808172.4281974,212441145.19789153
Knot Nodes,0x7e74F48ee5575e028d6bEbd77e368761F1d74a2a,1,378,9.587122147229225e+18,68178586,20366567.32902469,20366567.32902469
,0x7fBec5e3BE491C419A9e5822b40E0EDD00f18393,0,1,3.16227e+16,68178582,10000.0,10000.0
EvolveFTSO,0x89f7498a8db97FF7d8ef323E480Cb18dB44a1309,1,2199,5.564536098591047e+19,68178581,308888787.4031602,212441145.19789153
EDPFTSO,0x8ddd48b520Df91f05C5d8c19b2cEE59ABe65978a,1,2199,5.564536098591047e+19,68178582,254252115.50989965,212441145.19789153
,0x90C0Edf240397D461eBe7DF9b41EE9b4415F3432,0,788,1.99409823716085e+19,68178591,54074859.91040431,54074859.91040431
,0x928aeB29a4C82c7a1BBfF51d41777fAA4dD78A8E,0,377,9.539718163330437e+18,68178584,20232404.337152254,20232404.337152254
FlareFi,0x98BBe5658da8B31FbD3F07157a2cff4D10c0f22e,1,2199,5.564536098591047e+19,68178585,265256535.63435894,212441145.19789153
sToadz FTSO,0xa0E1FBA30e75e2d0D6C428cFF4B3b6A06233422b,1,899,2.2761850450402312e+19,68178585,64507502.683532484,64507502.683532484
,0xA36Bc4D5e3deDBb03506F54c0F48af223026E919,0,373,9.457414915923225e+18,68178581,20000005.000000663,20000005.000000663
InGen.FTSO,0xa6b95941845b229aD7b2cD4c3c6dE3aD9d0865Ff,1,374,9.464189335711226e+18,68178588,20019105.32097508,20019105.32097508
Tailwind FTSO,0xAA14F00460Efa76418F9CE265fe6DbB259b59D3f,0,376,9.53285058280838e+18,68178584,20212985.423570804,20212985.423570804
Aternety,0xAb3DAe93cD52f6e2A0809Dc19567C79ac3b1e225,1,1091,2.7617319323673514e+19,68178580,83478673.06444363,83478673.06444363
Oracle Daemon,0xaDEDCd23941E479b4736B38e271Eb926596BBe3d,0,472,1.1961417700556153e+19,68178582,27355434.54983748,27355434.54983748
FTSO AU,0xB3C9AA09F22A06122d3608Ef075f14E001561470,0,1806,4.56979195614747e+19,68178582,163378661.14491543,163378661.14491543
AlphaOracle,0xB4466BE43F01e8A615490098AAF18a1dc5c56568,1,2199,5.564536098591047e+19,68178584,238144658.94363013,212441145.19789153
,0xb6b43bE1178c356F9C2B8A8030451559fCC7AE8a,0,374,9.462203345692944e+18,68178581,20013505.0,20013505.0
FTSO EU,0xbB99dda7b6dcE88908dCD684ab7bf1a90f084401,1,722,1.829028025190595e+19,68178581,48190404.85965624,48190404.85965624
Aureus Ox,0xBe311F1640b700F76D17C009a505487C23b0312c,1,2181,5.5184727322199155e+19,68178581,210099625.18371856,210099625.18371856
Envision,0xC1d269E9D2A39c6A285EaAF53Eb9fe9b7245C87E,1,1130,2.860876864751185e+19,68178581,87498169.88660046,87498169.88660046
Sun-Dara,0xC2AE38bd4804f74Bba2828CdFC1fFa4be4D71304,0,451,1.142769931191599e+19,68178599,25740200.065769717,25740200.065769717
AFOracle,0xC5261026e08Ec6dc23162ef7Eb1248548715be76,1,421,1.0669536335078502e+19,68178583,23488799.226148166,23488799.226148166
FlareFTSO,0xC5d2411d9ff188ebeD494d93efB52e87Bb14b75d,1,508,1.2853212131430367e+19,68178580,30108028.647548012,30108028.647548012
Flare Network Test 2,0xce1008d12BB6E5aA47905D1f3bd97042217fFeab,1,1,2.6762107606524628e+16,68178582,8005.0,8005.0
African Proofs,0xcf3A3e5797A960C67e0E4B23D4594246ffB9d935,1,374,9.467428127229039e+18,68178582,20028245.274859283,20028245.274859283
True FTSO,0xD03a130079430a5d8fd1caEA3535a80dDc6bFc0D,1,375,9.51150598776637e+18,68178580,20152669.423855744,20152669.423855744
uGaenn,0xD249c7e0BDb6F407604260350eD56e7Dd5254e51,1,405,1.0266185264362541e+19,68178582,22312367.94776127,22312367.94776127
