Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Defi Oracles,0x00620F4659Bc546284dAB2720373C606727f073A,1,1509,3.742945762206307e+19,69653857,125204000.3507257,125204000.3507257
Ugly Kitty,0x01CaAAA7B40AA13aB2a04087d262B5558E695607,1,396,9.84052088223581e+18,69653852,21087459.341814443,21087459.341814443
Bushido FTSO,0x01F24Cb1DE93f218f6627D496e6318BEa65f2f34,1,386,9.584236679681372e+18,69653851,20358391.861142624,20358391.861142624
Lena Instruments,0x037c3e6a8f65ad2d810f26DB3439d96e48156858,1,2237,5.547707850213853e+19,69653851,211585020.38311204,211585020.38311204
Flare Portal,0x08d094dC09a0bAf05eC7E2a881A02Da54C26442b,0,392,9.72746640388104e+18,69653852,20765055.822722577,20765055.822722577
4DadsFTSO,0x0A2128437f75Ea111887f033fD84794403562737,1,469,1.165009140958869e+19,69653952,26410248.29301418,26410248.29301418
A-FTSO,0x0c660191434484428A563614E0aa9d2041772953,1,2246,5.569854631410432e+19,69653852,374566319.1713307,212711914.29608947
Ivy Oracle,0x18c8aF2EaC14282E207c67c405325E5A4a401A9F,1,2246,5.569854631410432e+19,69653851,220252023.99535674,212711914.29608947
Atlas TSO,0x19585c914AeA4d985E034399c581B35014ec94eF,1,2246,5.569854631410432e+19,69653853,270904268.3314825,212711914.29608947
Solarius,0x1CBf078705c907510fdB711Cf3c6e9B8E583f156,1,2246,5.569854631410432e+19,69653855,229947323.39626083,212711914.29608947
,0x23075D2210F1aC5f8eaD459bE03Ea7337D10afA0,0,1726,4.279780520961978e+19,69653853,149702382.87155673,149702382.87155673
TheGrungies,0x28603D496801086f503d80B5D321EcAd13CA3AFC,1,1221,3.0277081259572625e+19,69653857,94366702.9390794,94366702.9390794
,0x317edFB00ca5065590f6662eE33264b5c27B7c31,1,389,9.666638351528995e+18,69653858,20592107.805917107,20592107.805917107
Flare Dienst,0x342C8c165Db96a60EfEdd2E3480ae5398A1fd322,1,2246,5.569854631410432e+19,69653853,284260593.0277173,212711914.29608947
NORTSO,0x3ED54c61EC0fF7C144d547C2d032392864e66cA2,1,2246,5.569854631410432e+19,69653851,277705191.34400314,212711914.29608947
Flare Beacon,0x44Eb776cd95aE59b2edA2cE354557427361e75Da,1,2246,5.569854631410432e+19,69653852,222099812.30372486,212711914.29608947
HEWG,0x4ddd9f80F88F53c730CE7C6041f17583447DD968,1,665,1.6496434836777007e+19,69653851,41993966.85712824,41993966.85712824
PRICEKRAKEN,0x4F84caAb4a53Aabbad2dfE1013d2bB53EDBF2f0a,1,1972,4.890957080292305e+19,69653854,178864929.09040847,178864929.09040847
ACDTftso,0x527E5e829763885008E171493C0E8d4A1eC48239,1,791,1.961267534209616e+19,69653850,52891105.104796305,52891105.104796305
Xdrops Oracle,0x625598caF40C63EB62860260cfD343d5FA4D88D4,1,409,1.0158891914467998e+19,69653852,22001991.69056992,22001991.69056992
Mickey B Fresh,0x65Ae92f3473D75815F2a86298b76A608F94E1575,0,420,1.0421135621703633e+19,69653856,22762514.60398807,22762514.60398807
Flare Oracle,0x6c2209754845dF0FC01D048c3F3C3537B5D35B9c,1,2246,5.569854631410432e+19,69653852,280824055.0845183,212711914.29608947
,0x736E7225CC876f30BA124C2bFb8C0ed133f6c7C9,0,31,7.77714635163578e+17,69653855,715200.0,715200.0
Bifrost Wallet,0x7429E0C70306834E2B210cf3FEB306342f456ce7,1,2246,5.569854631410432e+19,69653853,335621557.8450242,212711914.29608947
Scintilla,0x75306a2aE227b444E2501908Ade7c4c2B1E22423,0,406,1.0075617313985585e+19,69653855,21761846.58782884,21761846.58782884
Knot Nodes,0x7e74F48ee5575e028d6bEbd77e368761F1d74a2a,1,387,9.61662499111382e+18,69653858,20450174.759292588,20450174.759292588
,0x7fBec5e3BE491C419A9e5822b40E0EDD00f18393,0,1,3.16227e+16,69653856,10000.0,10000.0
EvolveFTSO,0x89f7498a8db97FF7d8ef323E480Cb18dB44a1309,1,2246,5.569854631410432e+19,69653852,323082627.27420044,212711914.29608947
EDPFTSO,0x8ddd48b520Df91f05C5d8c19b2cEE59ABe65978a,1,2246,5.569854631410432e+19,69653851,219059521.11702323,212711914.29608947
,0x90C0Edf240397D461eBe7DF9b41EE9b4415F3432,0,803,1.9911075007487398e+19,69654103,53966777.39345148,53966777.39345148
,0x928aeB29a4C82c7a1BBfF51d41777fAA4dD78A8E,0,384,9.540423568448524e+18,69653857,20234404.33715225,20234404.33715225
FlareFi,0x98BBe5658da8B31FbD3F07157a2cff4D10c0f22e,1,2246,5.569854631410432e+19,69653855,215611642.00056985,212711914.29608947
sToadz FTSO,0xa0E1FBA30e75e2d0D6C428cFF4B3b6A06233422b,1,936,2.321449529531197e+19,69653854,66223537.75432076,66223537.75432076
,0xA36Bc4D5e3deDBb03506F54c0F48af223026E919,0,381,9.457414915923225e+18,69653853,20000005.000000663,20000005.000000663
InGen.FTSO,0xa6b95941845b229aD7b2cD4c3c6dE3aD9d0865Ff,1,381,9.464338351989338e+18,69653855,20019527.521465044,20019527.521465044
