Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Tailwind FTSO,0xAA14F00460Efa76418F9CE265fe6DbB259b59D3f,0,383,9.508052881524038e+18,69653854,20142906.662896942,20142906.662896942
Aternety,0xAb3DAe93cD52f6e2A0809Dc19567C79ac3b1e225,1,851,2.1117660116929135e+19,69653852,58370640.59457681,58370640.59457681
Oracle Daemon,0xaDEDCd23941E479b4736B38e271Eb926596BBe3d,0,467,1.1597889432348453e+19,69653852,26252579.844536934,26252579.844536934
FTSO AU,0xB3C9AA09F22A06122d3608Ef075f14E001561470,0,1826,4.528831014829904e+19,69653852,161429006.28170228,161429006.28170228
AlphaOracle,0xB4466BE43F01e8A615490098AAF18a1dc5c56568,1,2246,5.569854631410432e+19,69653850,249685861.4970514,212711914.29608947
,0xb6b43bE1178c356F9C2B8A8030451559fCC7AE8a,0,381,9.462203345692944e+18,69653851,20013505.0,20013505.0
FTSO EU,0xbB99dda7b6dcE88908dCD684ab7bf1a90f084401,1,752,1.8650091220489253e+19,69653851,49458553.54758748,49458553.54758748
Aureus Ox,0xBe311F1640b700F76D17C009a505487C23b0312c,1,2246,5.569854631410432e+19,69653853,224677946.52443558,212711914.29608947
Envision,0xC1d269E9D2A39c6A285EaAF53Eb9fe9b7245C87E,1,1671,4.142621316278891e+19,69653851,143339915.94187957,143339915.94187957
AFOracle,0xC5261026e08Ec6dc23162ef7Eb1248548715be76,1,429,1.0638075678535279e+19,69653853,23396499.442309786,23396499.442309786
FlareFTSO,0xC5d2411d9ff188ebeD494d93efB52e87Bb14b75d,1,523,1.2986617583628843e+19,69653852,30525417.723585255,30525417.723585255
Flare Network Test 2,0xce1008d12BB6E5aA47905D1f3bd97042217fFeab,1,1,2.6762107606524628e+16,69653876,8005.0,8005.0
African Proofs,0xcf3A3e5797A960C67e0E4B23D4594246ffB9d935,1,381,9.467120518526048e+18,69653852,20027379.29082332,20027379.29082332
True FTSO,0xD03a130079430a5d8fd1caEA3535a80dDc6bFc0D,1,383,9.518848418532661e+18,69653853,20173415.68350174,20173415.68350174
uGaenn,0xD249c7e0BDb6F407604260350eD56e7Dd5254e51,1,413,1.0262424034942986e+19,69653854,22301459.837587055,22301459.837587055
FTSO London,0xD288C3EF25eBf79e7C53EA37DcDfB0710f3Ed173,0,1157,2.8685217287419474e+19,69653852,87810050.7878132,87810050.7878132
WitterFTSO,0xd6122bb3d05454b4E4CC9883064A96607eB835BF,1,558,1.3844366069653211e+19,69653853,33242787.798745815,33242787.798745815
,0xd6C5f3e3a8A76EC73F2fAFaf06ef9dA57796DdF0,1,395,9.792371092977005e+18,69653853,20950000.108515322,20950000.108515322
TempestFTSO,0xD9DdD06B3E603F451DD8A16574CA9D3dF564742b,0,387,9.616854024402043e+18,69653853,20450821.892516993,20450821.892516993
FTSO Plus,0xDbB159Ee372D58d2653023bF1c5ab5678b842870,1,2220,5.50425549008755e+19,69653852,209378194.56465632,209378194.56465632
,0xE6B81dB3e09ee36611555D053A1bF8cb99fC2f1B,0,1430,3.5471371187607417e+19,69653852,116547806.35811521,116547806.35811521
FTSOCAN,0xEc056b0EF36de1D63031fdBb9bceF5FEB36FB27f,1,437,1.083755477167083e+19,69653851,23983271.163851775,23983271.163851775
LightFTSO,0xEE6f6572cfeB3467CE5F3572Bea7c5FD6d2b1725,1,1890,4.685790453577151e+19,69653851,168931491.16229868,168931491.16229868
,0xeEddF5817a03a3a0e27e33672c4788A9e43fA438,0,41,1.0251847165694729e+18,69653851,1033720.6122419899,1033720.6122419899
Wonderftso,0xfe193A0f95bBeeE5a5c8306bca5ceDfA65114460,0,385,9.553325431678312e+18,69653860,20270890.475894462,20270890.475894462
