Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Use Your Spark,0x661a71e863c887E68aa8c9348e8AA60E48a868Ad,1,1763,4.311632077459853e+19,66112597,151189742.02537307,151189742.02537307
Flare Oracle,0x6c2209754845dF0FC01D048c3F3C3537B5D35B9c,1,2285,5.588808983858905e+19,66112598,278964459.47917145,213677627.50427708
,0x736E7225CC876f30BA124C2bFb8C0ed133f6c7C9,0,31,7.77714635163578e+17,66112600,715200.0,715200.0
Bifrost Wallet,0x7429E0C70306834E2B210cf3FEB306342f456ce7,1,2285,5.588808983858905e+19,66112599,361194675.8826003,213677627.50427708
Scintilla,0x75306a2aE227b444E2501908Ade7c4c2B1E22423,0,414,1.013060493971261e+19,66112599,21920343.968448408,21920343.968448408
Knot Nodes,0x7e74F48ee5575e028d6bEbd77e368761F1d74a2a,1,392,9.596464692390437e+18,66112599,20393031.08361656,20393031.08361656
,0x7fBec5e3BE491C419A9e5822b40E0EDD00f18393,0,1,3.16227e+16,66112601,10000.0,10000.0
EvolveFTSO,0x89f7498a8db97FF7d8ef323E480Cb18dB44a1309,1,2285,5.588808983858905e+19,66112597,310052077.1361966,213677627.50427708
EDPFTSO,0x8ddd48b520Df91f05C5d8c19b2cEE59ABe65978a,1,2285,5.588808983858905e+19,66112601,230593806.16344002,213677627.50427708
sToadz FTSO,0xa0E1FBA30e75e2d0D6C428cFF4B3b6A06233422b,0,917,2.24469477695121e+19,66112599,63320336.372474715,63320336.372474715
,0xA36Bc4D5e3deDBb03506F54c0F48af223026E919,0,386,9.457414915923225e+18,66112598,20000005.000000663,20000005.000000663
InGen.FTSO,0xa6b95941845b229aD7b2cD4c3c6dE3aD9d0865Ff,1,386,9.460408496208062e+18,66112598,20008448.298799153,20008448.298799153
Aternety,0xAb3DAe93cD52f6e2A0809Dc19567C79ac3b1e225,1,1258,3.07850202290464e+19,66112597,96483407.60059817,96483407.60059817
Oracle Daemon,0xaDEDCd23941E479b4736B38e271Eb926596BBe3d,0,517,1.2646409720701747e+19,66112599,29463867.848298147,29463867.848298147
FTSO AU,0xB3C9AA09F22A06122d3608Ef075f14E001561470,0,1811,4.4287435982152475e+19,66112597,156689809.82156876,156689809.82156876
AlphaOracle,0xB4466BE43F01e8A615490098AAF18a1dc5c56568,1,2285,5.588808983858905e+19,66112597,230713623.18639618,213677627.50427708
,0xb6b43bE1178c356F9C2B8A8030451559fCC7AE8a,0,1,3.9615986369546296e+16,66112597,13505.0,13505.0
FTSO EU,0xbB99dda7b6dcE88908dCD684ab7bf1a90f084401,1,747,1.8274962413578789e+19,66112598,48136610.6525075,48136610.6525075
Flaris,0xbc1682730aE5BD0Aed7d210da330Ed581D9F2c4D,0,389,9.523605627267652e+18,66112597,20186859.396604393,20186859.396604393
Aureus Ox,0xBe311F1640b700F76D17C009a505487C23b0312c,1,2285,5.588808983858905e+19,66112598,229078175.05635452,213677627.50427708
AFOracle,0xC5261026e08Ec6dc23162ef7Eb1248548715be76,1,437,1.0698411174892134e+19,66112598,23573597.455199085,23573597.455199085
FlareFTSO,0xC5d2411d9ff188ebeD494d93efB52e87Bb14b75d,1,523,1.279168587111644e+19,66112597,29916028.65065182,29916028.65065182
Aimlezz,0xc9AAE1C39de077aEB7D7BC5B018ACC4c71504A84,0,386,9.460633595562801e+18,66112599,20009078.799815185,20009078.799815185
Flare Network Test 2,0xce1008d12BB6E5aA47905D1f3bd97042217fFeab,1,1,2.6762107606524628e+16,66112604,8005.0,8005.0
African Proofs,0xcf3A3e5797A960C67e0E4B23D4594246ffB9d935,1,387,9.467669054125965e+18,66112599,20028923.80383946,20028923.80383946
True FTSO,0xD03a130079430a5d8fd1caEA3535a80dDc6bFc0D,1,388,9.511586080089209e+18,66112597,20152894.67971532,20152894.67971532
uGaenn,0xD249c7e0BDb6F407604260350eD56e7Dd5254e51,1,419,1.0250317184125846e+19,66112599,22266389.3443534,22266389.3443534
FTSO London,0xD288C3EF25eBf79e7C53EA37DcDfB0710f3Ed173,0,1297,3.173732734602103e+19,66112598,100483306.17893377,100483306.17893377
WitterFTSO,0xd6122bb3d05454b4E4CC9883064A96607eB835BF,1,565,1.3827702200255623e+19,66112599,33189453.890977077,33189453.890977077
,0xd6C5f3e3a8A76EC73F2fAFaf06ef9dA57796DdF0,1,400,9.792371069668035e+18,66112598,20950000.008782692,20950000.008782692
TempestFTSO,0xD9DdD06B3E603F451DD8A16574CA9D3dF564742b,0,392,9.588438156590168e+18,66112597,20370298.80095081,20370298.80095081
FTSO Plus,0xDbB159Ee372D58d2653023bF1c5ab5678b842870,1,1636,4.002078948314398e+19,66112598,136892905.28006706,136892905.28006706
,0xE6B81dB3e09ee36611555D053A1bF8cb99fC2f1B,0,1379,3.3738395744067133e+19,66112597,109018299.19944589,109018299.19944589
FTSOCAN,0xEc056b0EF36de1D63031fdBb9bceF5FEB36FB27f,1,443,1.0843542637143419e+19,66112598,24000951.430199403,24000951.430199403
LightFTSO,0xEE6f6572cfeB3467CE5F3572Bea7c5FD6d2b1725,1,2285,5.588808983858905e+19,66112597,256868396.3527705,213677627.50427708
Wonderftso,0xfe193A0f95bBeeE5a5c8306bca5ceDfA65114460,0,390,9.55031730943526e+18,66112602,20262385.584855955,20262385.584855955
