Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Defi Oracles,0x00620F4659Bc546284dAB2720373C606727f073A,1,1612,3.943868193074113e+19,66112599,134244517.13043806,134244517.13043806
Ugly Kitty,0x01CaAAA7B40AA13aB2a04087d262B5558E695607,1,401,9.807138767865127e+18,66112599,20992135.0332802,20992135.0332802
Bushido FTSO,0x01F24Cb1DE93f218f6627D496e6318BEa65f2f34,1,391,9.584088661554883e+18,66112596,20357973.887899105,20357973.887899105
Lena Instruments,0x037c3e6a8f65ad2d810f26DB3439d96e48156858,1,2285,5.588808983858905e+19,66112598,213865663.75513926,213677627.50427708
Flare Portal,0x08d094dC09a0bAf05eC7E2a881A02Da54C26442b,0,402,9.83726867608394e+18,66112599,21078165.62848263,21078165.62848263
4DadsFTSO,0x0A2128437f75Ea111887f033fD84794403562737,1,464,1.1368986072888375e+19,66112598,25564017.11398274,25564017.11398274
A-FTSO,0x0c660191434484428A563614E0aa9d2041772953,1,2285,5.588808983858905e+19,66112597,373754201.9340788,213677627.50427708
Ivy Oracle,0x18c8aF2EaC14282E207c67c405325E5A4a401A9F,1,2285,5.588808983858905e+19,66112598,226351694.80394685,213677627.50427708
Atlas TSO,0x19585c914AeA4d985E034399c581B35014ec94eF,1,2285,5.588808983858905e+19,66112596,268634386.2027081,213677627.50427708
Solarius,0x1CBf078705c907510fdB711Cf3c6e9B8E583f156,0,2285,5.588808983858905e+19,66112599,228449979.34169015,213677627.50427708
,0x23075D2210F1aC5f8eaD459bE03Ea7337D10afA0,0,1971,4.822224414388018e+19,66112596,175521373.87810805,175521373.87810805
TheGrungies,0x28603D496801086f503d80B5D321EcAd13CA3AFC,1,622,1.5222533358604749e+19,66112599,37726741.15383001,37726741.15383001
,0x317edFB00ca5065590f6662eE33264b5c27B7c31,1,394,9.654148019772273e+18,66112598,20556641.34239847,20556641.34239847
Flare Dienst,0x342C8c165Db96a60EfEdd2E3480ae5398A1fd322,1,2285,5.588808983858905e+19,66112597,222430278.29271272,213677627.50427708
,0x3B1860969C6e00Aef35c48a1bbbe15a3017D558D,0,386,9.45764202441657e+18,66112597,20000644.0,20000644.0
NORTSO,0x3ED54c61EC0fF7C144d547C2d032392864e66cA2,1,2285,5.588808983858905e+19,66112598,301762164.06874794,213677627.50427708
Flare Beacon,0x44Eb776cd95aE59b2edA2cE354557427361e75Da,1,2285,5.588808983858905e+19,66112599,220356055.80702534,213677627.50427708
Flare.Space,0x4985138d5efaB799CaA5abb09Eb7DBC87Dd5141A,1,2285,5.588808983858905e+19,66112602,235736631.3768986,213677627.50427708
HEWG,0x4ddd9f80F88F53c730CE7C6041f17583447DD968,1,674,1.6486017139459113e+19,66112598,41958611.64871564,41958611.64871564
PRICEKRAKEN,0x4F84caAb4a53Aabbad2dfE1013d2bB53EDBF2f0a,1,2285,5.588808983858905e+19,66112598,226769549.80452535,213677627.50427708
ACDTftso,0x527E5e829763885008E171493C0E8d4A1eC48239,1,438,1.072456289527364e+19,66112596,23650460.472327232,23650460.472327232
Xdrops Oracle,0x625598caF40C63EB62860260cfD343d5FA4D88D4,1,414,1.0142382158362788e+19,66112598,21954331.55899334,21954331.55899334
Mickey B Fresh,0x65Ae92f3473D75815F2a86298b76A608F94E1575,0,435,1.0641178880958409e+19,66112599,23405596.194052055,23405596.194052055
