Address,Total Stake,Owner Stake,Delegators Stake,Free Space,Delegators,Uptime,Fee
CoNH4gyEwB9gTrEmozwh14Zr8hs6wokRS,28026991,10000000,18026991,121973009,14,100.00%,20.00
FDR3CXdwP3H3Zz9QKfL61fk56zkPEgdFV,105225148,7592160,97632988,8657252,14,100.00%,15.00
9WF8MvjNhmR45AdNjVfAWp27KKq7KCGpm,25086606,3130007,21956599,21863494,14,97.52%,20.00
P6nNyHc4QwyKoVSS7c9XatGp4Sityq7rM,20153086,3500000,16653086,32346914,14,99.99%,20.00
NV7ZpcJvqzmvvT4PaeHWbTELWKFT2Jqxw,4460525,1560700,2899825,18949975,14,100.00%,20.00
KH2o8xGFLYtCwseWgRbpDAf1n4zAcMNfN,16519737,10000000,6519737,133480263,14,100.00%,15.00
7HLcuEFt7c1qTggK8AkLim9ekhPu2NYLM,57716635,30000000,27716635,142283365,13NO REWARDS,99.90%,10.00
MN7sJduRdGUs3aWyYUmym2CFVsptzgKcJ,161969831,11000000,150969831,3030169,13,100.00%,18.00
J8Zbi3b3AjTEUmHdE4KSApEU1U36iaeDS,27579679,8000000,19579679,92420321,12,100.00%,18.00
JA63moobNNMLby4ENNUiJqVJA2cdpks5J,35646701,2751551,32895150,5626561,11,100.00%,14.00
Q9KeAQKSyxtJj8mfum951Q5akkoFBJLTs,33675091,30000000,3675091,166324909,11,99.95%,20.00
7vz3A92AkLi9YRYTauPgvkdiMmhnuDRzj,57932588,4000000,53932588,2067412,9,97.85%,20.00
C3FRhsMBh3KNLKiVbc8xLY7gnVzmJ7EY9,19251995,3000000,16251995,25748005,9,99.92%,20.00
JHnfNSNgSThSJEFG8aq99FRAE4a7Ko7UP,21607771,4000000,17607771,38392229,6,100.00%,20.00
KzPd2Vx5WomGtur91B9K9R7to3mYyYga,18350000,3000000,15350000,26650000,6,100.00%,18.00
k4QG8eJ9bYu717nbj8Ki8VykK8g1VWK9,18660658,3000000,15660658,26339342,6,100.00%,20.00
FERvNWfCH4mjCSoFnjF4YouDBuYZCpfKm,18585496,3250000,15335496,30164504,5,100.00%,15.00
CeX1NfNPHCdaJXUVtkLysShaZCtsHRK3D,13604630,2172490,11432140,18982720,5NO REWARDS,97.05%,20.00
FUA8LX6gJhNmiJVT5eycNsd2jKBHL7FBY,33446860,32747171,699689,166553140,5NO REWARDS,100.00%,100.00
Q3WJQcoixGGKnFs41B18rnJB9PS54M5oF,143204783,10000000,133204783,6795217,5,96.09%,15.00
GPBkpSGC7YpRbd1TsNZk84C2TQfNja6FQ,21034993,3000000,18034993,23965007,4,64.16%,20.00
FLPF99Gi1c79NGHw7GYyhttWPVxpCq713,18265883,3000000,15265883,26734117,3,99.43%,12.50
B6sAUBEYn2fvHMeUnsUkh1yNrvTzKu8gZ,5770000,4000000,1770000,54230000,3,100.00%,20.00
KRkND3cB1bYaWt71CSQdCUjRSR95d3cNz,5275312,5000000,275312,69724688,2,100.00%,20.00
LKS1hi95iVbqGDyU1vbkyPLd4wknJfqF9,1686677,1216120,470557,16555123,2,99.98%,20.00
9vmnHcK2XCBDf7uNfkq6CqRGpE6FJsN5K,18000000,3000000,15000000,27000000,1NO REWARDS,100.00%,18.00
KppZbRMtfNTQZGdmHdkbHTJHgNPBCNxJj,1350000,1300000,50000,18150000,1,68.03%,22.00
NbTToANYcdsreLC5PBcE9gsMBpBY7N7s1,4018314,3750000,268314,52231686,1,100.00%,20.00
5BWT2P6E2kjKWsVDVzsj2XwtuxiwV7oAq,1000050,1000050,0,14000700,0,100.00%,20.00
