Name,Address,Active,Registration_weight,Primary (%),Secondary (%),Availability (%),Total reward,Current earnings,Reward rate
Bushido FTSO,0x01F24Cb1DE93f218f6627D496e6318BEa65f2f34,True,20357985.29175913,44.39,42.9,100.0,1828.0150440880302,1828.0150440880302,0.03591740573322856
Tailwind FTSO,0xAA14F00460Efa76418F9CE265fe6DbB259b59D3f,True,20324026.78741679,5.05,11.61,99.39,91.88654813127344,91.88654813127344,0.001808431942988053
,0x928aeB29a4C82c7a1BBfF51d41777fAA4dD78A8E,True,20232404.337152254,0.0,0.0,0.0,0.0,0.0,0.0
True FTSO,0xD03a130079430a5d8fd1caEA3535a80dDc6bFc0D,True,20153591.567302138,7.46,13.9,100.0,383.5748773084277,383.5748773084277,0.00761303266521988
African Proofs,0xcf3A3e5797A960C67e0E4B23D4594246ffB9d935,True,20028109.22360948,3.8,4.36,81.57,133.57851403794263,133.57851403794263,0.0026678207622410598
InGen.FTSO,0xa6b95941845b229aD7b2cD4c3c6dE3aD9d0865Ff,True,20018929.621097922,12.57,16.86,99.58,564.0809621501533,564.0809621501533,0.011270951500936774
,0xA36Bc4D5e3deDBb03506F54c0F48af223026E919,True,20000005.000000663,0.0,0.0,0.0,0.0,0.0,0.0
,0xeEddF5817a03a3a0e27e33672c4788A9e43fA438,True,797486.3915924251,52.55,44.56,100.0,99.8002098612557,99.8002098612557,0.050057385762771
,0x736E7225CC876f30BA124C2bFb8C0ed133f6c7C9,True,715200.0,7.59,13.96,100.0,13.868595313966713,13.868595313966713,0.007756485074925456
,0xb6b43bE1178c356F9C2B8A8030451559fCC7AE8a,True,13505.0,22.16,28.31,100.0,0.8236051410839855,0.8236051410839855,0.02439408044676747
,0x7fBec5e3BE491C419A9e5822b40E0EDD00f18393,True,10000.0,6.03,9.02,99.9,0.19858364468417772,0.19858364468417772,0.007943345787367122
Flare Network Test 2,0xce1008d12BB6E5aA47905D1f3bd97042217fFeab,True,8005.0,7.61,13.93,99.74,0.24656916353997718,0.24656916353997718,0.01232075770343424
,0xF72Ea76C43577696040079AdAf7Ec946A6C646E1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xa41d19F4258a388c639B7CcD938FCE3fb7D05e86,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xf4213E49488b9320769D35924AC52ea31a4C9fc1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTSO Plus,0x0FA72D3912d1C530AB1f6a8A9fB61C672947E964,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x63eDAb9d9ca1C2CEc9c72EC86D65fa97e6AFbd01,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x1a696Acb220a4f76153c779f828d0Ba99028770a,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x2d3bdE536ad297f2EA74965f02C9E42f4780fB6A,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xB5ECB64526F777Eb6f02D4A83AbAB1FAD26b1C00,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x1C602a30335187A97D8061Ffffd4522796DE82bF,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flaris,0xbc1682730aE5BD0Aed7d210da330Ed581D9F2c4D,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aimlezz,0xc9AAE1C39de077aEB7D7BC5B018ACC4c71504A84,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4DadsFTSO,0x0A2128437f75Ea111887f033fD84794403562737,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x3B1860969C6e00Aef35c48a1bbbe15a3017D558D,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x56b9629d284143120a0dfbDD7c9B50B6eC40706c,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xDeb6752C4120E1ee876eF39A3034C146fAE189f8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0xE6caa2BCa8b0E9004724E0600b38db52C17BCaC3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x51e40f275feecA0A859CdA9D499afBcBe3804B71,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x0013F4964DFB16F9C9Ebf1940eF22Af4573F6e1b,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x364197D52533c454e6C19086a895026048afedEB,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0x9b39520eF755Fb7AaE2468334dd6f8DD31609f1B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
