Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
Defi Oracles,0x00620F4659Bc546284dAB2720373C606727f073A,1,1472,3.74345558684201e+19,69361188,125226729.72756678,125226729.72756678
Ugly Kitty,0x01CaAAA7B40AA13aB2a04087d262B5558E695607,1,387,9.838372098316941e+18,69361182,21081320.237175893,21081320.237175893
Bushido FTSO,0x01F24Cb1DE93f218f6627D496e6318BEa65f2f34,1,377,9.584236009039538e+18,69361182,20358389.012049958,20358389.012049958
Lena Instruments,0x037c3e6a8f65ad2d810f26DB3439d96e48156858,1,2192,5.5715361291878064e+19,69361182,218413206.08856305,212797570.11834896
Flare Portal,0x08d094dC09a0bAf05eC7E2a881A02Da54C26442b,0,382,9.731333532085168e+18,69361182,20776060.257987007,20776060.257987007
4DadsFTSO,0x0A2128437f75Ea111887f033fD84794403562737,1,459,1.1676782564823083e+19,69361183,26490954.35671039,26490954.35671039
A-FTSO,0x0c660191434484428A563614E0aa9d2041772953,1,2192,5.5715361291878064e+19,69361183,375258211.94372815,212797570.11834896
Ivy Oracle,0x18c8aF2EaC14282E207c67c405325E5A4a401A9F,1,2192,5.5715361291878064e+19,69361184,219284936.27285537,212797570.11834896
Atlas TSO,0x19585c914AeA4d985E034399c581B35014ec94eF,1,2192,5.5715361291878064e+19,69361182,271988644.066358,212797570.11834896
Solarius,0x1CBf078705c907510fdB711Cf3c6e9B8E583f156,1,2192,5.5715361291878064e+19,69361193,232525160.9978565,212797570.11834896
,0x23075D2210F1aC5f8eaD459bE03Ea7337D10afA0,0,1647,4.188124380533372e+19,69361184,145443009.5303798,145443009.5303798
TheGrungies,0x28603D496801086f503d80B5D321EcAd13CA3AFC,1,858,2.1820930181077455e+19,69361188,60976767.93001677,60976767.93001677
,0x317edFB00ca5065590f6662eE33264b5c27B7c31,1,380,9.666638351528995e+18,69361185,20592107.805917107,20592107.805917107
NORTSO,0x3ED54c61EC0fF7C144d547C2d032392864e66cA2,1,2192,5.5715361291878064e+19,69361182,277728204.5879875,212797570.11834896
Flare Beacon,0x44Eb776cd95aE59b2edA2cE354557427361e75Da,1,2192,5.5715361291878064e+19,69361183,221727112.27890268,212797570.11834896
Flare.Space,0x4985138d5efaB799CaA5abb09Eb7DBC87Dd5141A,1,2186,5.558255663972772e+19,69361188,212121524.93590435,212121524.93590435
HEWG,0x4ddd9f80F88F53c730CE7C6041f17583447DD968,1,649,1.6499076289809312e+19,69361183,42002928.195877865,42002928.195877865
PRICEKRAKEN,0x4F84caAb4a53Aabbad2dfE1013d2bB53EDBF2f0a,1,1934,4.916793972966006e+19,69361185,180125887.7000412,180125887.7000412
ACDTftso,0x527E5e829763885008E171493C0E8d4A1eC48239,1,783,1.992212631242831e+19,69361181,54006693.3378348,54006693.3378348
Xdrops Oracle,0x625598caF40C63EB62860260cfD343d5FA4D88D4,1,399,1.0159152899965932e+19,69361183,22002736.12993465,22002736.12993465
Mickey B Fresh,0x65Ae92f3473D75815F2a86298b76A608F94E1575,0,410,1.0421046991004996e+19,69361183,22762252.47198183,22762252.47198183
Use Your Spark,0x661a71e863c887E68aa8c9348e8AA60E48a868Ad,1,1706,4.338500929106604e+19,69361183,152447261.45386907,152447261.45386907
Flare Oracle,0x6c2209754845dF0FC01D048c3F3C3537B5D35B9c,1,2192,5.5715361291878064e+19,69361183,280495707.8369561,212797570.11834896
,0x736E7225CC876f30BA124C2bFb8C0ed133f6c7C9,0,30,7.77714635163578e+17,69361186,715200.0,715200.0
Bifrost Wallet,0x7429E0C70306834E2B210cf3FEB306342f456ce7,1,2192,5.5715361291878064e+19,69361184,337370017.4962062,212797570.11834896
Scintilla,0x75306a2aE227b444E2501908Ade7c4c2B1E22423,0,396,1.0075605794986232e+19,69361186,21761816.980397258,21761816.980397258
Knot Nodes,0x7e74F48ee5575e028d6bEbd77e368761F1d74a2a,1,378,9.616584999203625e+18,69361184,20450062.369962174,20450062.369962174
,0x7fBec5e3BE491C419A9e5822b40E0EDD00f18393,0,1,3.16227e+16,69361187,10000.0,10000.0
