Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
EvolveFTSO,0x89f7498a8db97FF7d8ef323E480Cb18dB44a1309,1,2192,5.5715361291878064e+19,69361183,311875264.46772695,212797570.11834896
EDPFTSO,0x8ddd48b520Df91f05C5d8c19b2cEE59ABe65978a,1,2192,5.5715361291878064e+19,69361187,239855325.7770268,212797570.11834896
,0x90C0Edf240397D461eBe7DF9b41EE9b4415F3432,0,808,2.055275676927247e+19,69361188,56298086.05483043,56298086.05483043
,0x928aeB29a4C82c7a1BBfF51d41777fAA4dD78A8E,0,375,9.540423568448524e+18,69361187,20234404.33715225,20234404.33715225
FlareFi,0x98BBe5658da8B31FbD3F07157a2cff4D10c0f22e,1,2192,5.5715361291878064e+19,69361185,227675167.74705023,212797570.11834896
sToadz FTSO,0xa0E1FBA30e75e2d0D6C428cFF4B3b6A06233422b,1,896,2.2787977769630614e+19,69361185,64606245.57749252,64606245.57749252
,0xA36Bc4D5e3deDBb03506F54c0F48af223026E919,0,372,9.457414915923225e+18,69361184,20000005.000000663,20000005.000000663
InGen.FTSO,0xa6b95941845b229aD7b2cD4c3c6dE3aD9d0865Ff,1,372,9.464299670644355e+18,69361186,20019420.665380374,20019420.665380374
Tailwind FTSO,0xAA14F00460Efa76418F9CE265fe6DbB259b59D3f,0,374,9.521369702524092e+18,69361185,20180542.409994166,20180542.409994166
Aternety,0xAb3DAe93cD52f6e2A0809Dc19567C79ac3b1e225,1,933,2.3720839873807647e+19,69361183,68156447.32604887,68156447.32604887
Oracle Daemon,0xaDEDCd23941E479b4736B38e271Eb926596BBe3d,0,461,1.1738304875300053e+19,69361183,26677227.183131658,26677227.183131658
FTSO AU,0xB3C9AA09F22A06122d3608Ef075f14E001561470,0,1822,4.632630222533845e+19,69361206,166380923.56280977,166380923.56280977
AlphaOracle,0xB4466BE43F01e8A615490098AAF18a1dc5c56568,1,2192,5.5715361291878064e+19,69361183,240422917.49630386,212797570.11834896
,0xb6b43bE1178c356F9C2B8A8030451559fCC7AE8a,0,372,9.462203345692944e+18,69361183,20013505.0,20013505.0
FTSO EU,0xbB99dda7b6dcE88908dCD684ab7bf1a90f084401,1,732,1.8608311157795533e+19,69361184,49310887.69741619,49310887.69741619
Aureus Ox,0xBe311F1640b700F76D17C009a505487C23b0312c,1,2192,5.5715361291878064e+19,69361182,229804937.92936498,212797570.11834896
Envision,0xC1d269E9D2A39c6A285EaAF53Eb9fe9b7245C87E,1,1650,4.196191137306837e+19,69361183,145816663.04107252,145816663.04107252
AFOracle,0xC5261026e08Ec6dc23162ef7Eb1248548715be76,1,529,1.3446468183130178e+19,69361184,31975034.356705222,31975034.356705222
FlareFTSO,0xC5d2411d9ff188ebeD494d93efB52e87Bb14b75d,1,510,1.2975831777904853e+19,69361183,30491621.616434507,30491621.616434507
Flare Network Test 2,0xce1008d12BB6E5aA47905D1f3bd97042217fFeab,1,1,2.6762107606524628e+16,69361204,8005.0,8005.0
African Proofs,0xcf3A3e5797A960C67e0E4B23D4594246ffB9d935,1,372,9.46711989544968e+18,69361182,20027376.6546317,20027376.6546317
True FTSO,0xD03a130079430a5d8fd1caEA3535a80dDc6bFc0D,1,374,9.511530079474135e+18,69361184,20152733.467252523,20152733.467252523
uGaenn,0xD249c7e0BDb6F407604260350eD56e7Dd5254e51,1,403,1.02624161036502e+19,69361185,22301445.89115763,22301445.89115763
FTSO London,0xD288C3EF25eBf79e7C53EA37DcDfB0710f3Ed173,0,1125,2.8593976674418782e+19,69361185,87437842.85171026,87437842.85171026
WitterFTSO,0xd6122bb3d05454b4E4CC9883064A96607eB835BF,1,544,1.3841869069150036e+19,69361182,33234811.176270746,33234811.176270746
,0xd6C5f3e3a8A76EC73F2fAFaf06ef9dA57796DdF0,1,385,9.792371086212162e+18,69361181,20950000.079574123,20950000.079574123
TempestFTSO,0xD9DdD06B3E603F451DD8A16574CA9D3dF564742b,0,378,9.616853821417638e+18,69361182,20450821.02920039,20450821.02920039
FTSO Plus,0xDbB159Ee372D58d2653023bF1c5ab5678b842870,1,2177,5.533911903466902e+19,69361183,210883747.13556302,210883747.13556302
,0xE6B81dB3e09ee36611555D053A1bF8cb99fC2f1B,0,1397,3.5513065008577393e+19,69361183,116730488.65939805,116730488.65939805
FTSOCAN,0xEc056b0EF36de1D63031fdBb9bceF5FEB36FB27f,1,425,1.080614654137278e+19,69361182,23890644.398220297,23890644.398220297
LightFTSO,0xEE6f6572cfeB3467CE5F3572Bea7c5FD6d2b1725,1,1788,4.546242741442188e+19,69361182,162257069.31769162,162257069.31769162
,0xeEddF5817a03a3a0e27e33672c4788A9e43fA438,0,40,1.0251847165694729e+18,69361182,1033720.6122419899,1033720.6122419899
Wonderftso,0xfe193A0f95bBeeE5a5c8306bca5ceDfA65114460,0,375,9.553301049346816e+18,69361191,20270825.217045374,20270825.217045374
