Name,Address,FastUpdates Registration,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
AFOracle,0xC5261026e08Ec6dc23162ef7Eb1248548715be76,1,413,1.0638167412353325e+19,69950553,23396775.288885657,23396775.288885657
FlareFTSO,0xC5d2411d9ff188ebeD494d93efB52e87Bb14b75d,1,505,1.2987374146765857e+19,69950554,30527779.60012424,30527779.60012424
Flare Network Test 2,0xce1008d12BB6E5aA47905D1f3bd97042217fFeab,1,1,2.6762107606524628e+16,69950558,8005.0,8005.0
African Proofs,0xcf3A3e5797A960C67e0E4B23D4594246ffB9d935,1,368,9.467121052372103e+18,69950554,20027381.549493615,20027381.549493615
True FTSO,0xD03a130079430a5d8fd1caEA3535a80dDc6bFc0D,1,375,9.648732151272421e+18,69950554,20541261.963139214,20541261.963139214
FTSO London,0xD288C3EF25eBf79e7C53EA37DcDfB0710f3Ed173,0,1116,2.8715040757168935e+19,69950553,87931827.00545204,87931827.00545204
WitterFTSO,0xd6122bb3d05454b4E4CC9883064A96607eB835BF,1,538,1.3845564470136295e+19,69950553,33246632.42272627,33246632.42272627
,0xd6C5f3e3a8A76EC73F2fAFaf06ef9dA57796DdF0,1,380,9.792371070046712e+18,69950555,20950000.01040255,20950000.01040255
TempestFTSO,0xD9DdD06B3E603F451DD8A16574CA9D3dF564742b,0,374,9.616855219254436e+18,69950555,20450826.974371977,20450826.974371977
FTSO Plus,0xDbB159Ee372D58d2653023bF1c5ab5678b842870,1,2127,5.469479933244566e+19,69950554,207616276.05522108,207616276.05522108
,0xE6B81dB3e09ee36611555D053A1bF8cb99fC2f1B,0,1414,3.6359968132639502e+19,69950554,120456816.94054773,120456816.94054773
FTSOCAN,0xEc056b0EF36de1D63031fdBb9bceF5FEB36FB27f,1,421,1.0840965336734153e+19,69950553,23993337.5505671,23993337.5505671
LightFTSO,0xEE6f6572cfeB3467CE5F3572Bea7c5FD6d2b1725,1,1846,4.7480647121763705e+19,69950553,171931550.6576901,171931550.6576901
,0xeEddF5817a03a3a0e27e33672c4788A9e43fA438,0,39,1.0251847165694729e+18,69950553,1033720.6122419899,1033720.6122419899
Wonderftso,0xfe193A0f95bBeeE5a5c8306bca5ceDfA65114460,0,371,9.55336869355512e+18,69950562,20271016.747889627,20271016.747889627
