Name,Address,Normalised weight,Registration weight,Registration block,Delegation weight,Capped delegation weight
FTSO AU,0xB3C9AA09F22A06122d3608Ef075f14E001561470,1711,4.46861595865496e+19,66408033,1.585735482416445e+26,1.585735482416445e+26
AlphaOracle,0xB4466BE43F01e8A615490098AAF18a1dc5c56568,2135,5.575944257508881e+19,66408032,2.313160658311981e+26,2.1302208481174118e+26
,0xb6b43bE1178c356F9C2B8A8030451559fCC7AE8a,1,3.9615986369546296e+16,66408032,1.3505e+22,1.3505e+22
FTSO EU,0xbB99dda7b6dcE88908dCD684ab7bf1a90f084401,701,1.831121904832098e+19,66408033,4.82639785828433e+25,4.82639785828433e+25
Aureus Ox,0xBe311F1640b700F76D17C009a505487C23b0312c,2135,5.575944257508881e+19,66408033,2.2705517759375295e+26,2.1302208481174118e+26
Envision,0xC1d269E9D2A39c6A285EaAF53Eb9fe9b7245C87E,1085,2.835541011985779e+19,66408141,8.64665072982665e+25,8.64665072982665e+25
Sun-Dara,0xC2AE38bd4804f74Bba2828CdFC1fFa4be4D71304,460,1.2017976776995594e+19,66408036,2.7528034566798994e+25,2.7528034566798994e+25
AFOracle,0xC5261026e08Ec6dc23162ef7Eb1248548715be76,416,1.0884755555306473e+19,66408033,2.412264616227763e+25,2.412264616227763e+25
FlareFTSO,0xC5d2411d9ff188ebeD494d93efB52e87Bb14b75d,492,1.2850912012226353e+19,66408032,3.010085171052167e+25,3.010085171052167e+25
Flare Network Test 2,0xce1008d12BB6E5aA47905D1f3bd97042217fFeab,1,2.6762107606524628e+16,66408035,8.005e+21,8.005e+21
African Proofs,0xcf3A3e5797A960C67e0E4B23D4594246ffB9d935,362,9.467695344400177e+18,66408033,2.0028997167668107e+25,2.0028997167668107e+25
True FTSO,0xD03a130079430a5d8fd1caEA3535a80dDc6bFc0D,364,9.511816098406269e+18,66408032,2.01535459989611e+25,2.01535459989611e+25
