Address,Total Stake,Owner Stake,Delegators Stake,Free Space,Delegators,Uptime,Fee
2a7BPY7UeJv2njMuyUHfBSTeQCYZj6bwV,22081603,7500000,14581603,90418397,8,100.00%,10.00
FUA8LX6gJhNmiJVT5eycNsd2jKBHL7FBY,31338440,29999988,1338452,168661560,7,99.98%,100.00
C3FRhsMBh3KNLKiVbc8xLY7gnVzmJ7EY9,19091995,3000000,16091995,25908005,7,99.96%,20.00
KzPd2Vx5WomGtur91B9K9R7to3mYyYga,18350000,3000000,15350000,26650000,6,100.00%,18.00
FLPF99Gi1c79NGHw7GYyhttWPVxpCq713,18235358,3000000,15235358,26764642,3,99.80%,12.50
P6nNyHc4QwyKoVSS7c9XatGp4Sityq7rM,3802812,3500000,302812,48697188,3,99.96%,20.00
Nwi6MgscyMFQciLyabSFWpWHBQATBVGfk,10569933,1750000,8819933,15680067,2,99.39%,20.00
Q3WJQcoixGGKnFs41B18rnJB9PS54M5oF,143017200,10000000,133017200,6982800,2,95.04%,15.00
k4QG8eJ9bYu717nbj8Ki8VykK8g1VWK9,18363000,3000000,15363000,26637000,2,100.00%,20.00
9WF8MvjNhmR45AdNjVfAWp27KKq7KCGpm,18130007,3130007,15000000,28820094,1,93.37%,20.00
MzMscku8ayAd2pBEmH8xWiAXBwtPgS2S5,8158930,8000000,158930,111841070,1,100.00%,15.00
JHnfNSNgSThSJEFG8aq99FRAE4a7Ko7UP,4000000,4000000,0,56000000,0,100.00%,20.00
CeX1NfNPHCdaJXUVtkLysShaZCtsHRK3D,2172490,2172490,0,30414860,0NO REWARDS,100.00%,20.00
KppZbRMtfNTQZGdmHdkbHTJHgNPBCNxJj,1300000,1300000,0,18200000,0,100.00%,22.00
J8Zbi3b3AjTEUmHdE4KSApEU1U36iaeDS,8000000,8000000,0,112000000,0,100.00%,18.00
GPBkpSGC7YpRbd1TsNZk84C2TQfNja6FQ,3000000,3000000,0,42000000,0,68.35%,20.00
